procs,time,speedup,Efficiency
1,0.21016,1.0,1.0
2,0.1086,1.9351749539594845,0.9675874769797422
3,0.0726115,2.8943073755534594,0.9647691251844864
4,0.05483,3.832938172533285,0.9582345431333212
5,0.0453271,4.63651987442391,0.927303974884782
6,0.0370311,5.675229739327215,0.9458716232212026
7,0.0318242,6.603779513703409,0.9433970733862013
8,0.0349896,6.006356174406109,0.7507945218007637
9,0.0254475,8.258571568916397,0.917619063212933
10,0.0234103,8.977245058798905,0.8977245058798905
11,0.0221393,9.492621717940496,0.8629656107218633
12,0.0214248,9.809193084649566,0.8174327570541305
13,0.0199616,10.528214171208722,0.8098626285545171
14,0.0186433,11.272682411375667,0.8051916008125477
